Username,Comment
@Diptivishwakarma-ys3yq,Loveli song loveli Movie ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
@smritiguchhait9030,The last comment about the train I awesome!! 😂😂😂 12 se 36!! Oh god!! 😂😂😂😂
@soniasaha4236,Still grooving to this song ❤
@nwaynway-e2p,❤❤❤❤❤❤❤
@adamyashrivastava,Anyone from 2031. 😅🎉
@VivelMawlong-wt4nw,I love rani voice ❤❤❤🎉
@SeemaShergill-yu2tm,Awesome 👌
@UmarKhanRTR,ENERGY of BOYS in those times 🔥🔥🔥🔥🔥🔥
@DeepaRamesh97,Hats off to Rani Mukherjee for such an energetic and effortless dance in those heels 🎉❤
@spacesight6453,That era i used to never miss a single movie of  rani a woman with volcano of talent 🎉🎉🎉
@S527-x5p,Tyyna histi ki bachi
@Parth.Sharma.18,Rani was tripping so hard in her imagination while having no idea about Mumbai that she literally thought CST had at least 36 platforms.
@dreame3746,Sushant sir 🙏 💔😭
@soumyaarsey4421,0:35-1:44
@shanimee3280,This choreography is a total workout
@shyamchavan7561,Rani is amazing  dance..
@muhammadwaqas-qc9pj,rani dance amazing
@Samking2003,Abhishek🤣🤣🤣😂😂
@purvishah7015,"Pur
Pu4
Pur
Pur"
@smartshortzbangla,"When abishek dance 
He kinda stretches like woman"
@Ichchhavaishnavi4632,Stage faad diya ❤maa❤ kasam
@ghosonmajde,"What is meant by ""Nach baliye""
I am not Indian 😢 Can anyone tell me what it means in English?"
@shirin6960,What are  maya and rishi doing😂😂
@md.kamrulhasan1772,Boss lady Rani...best dancer❤❤ in front of her Abhishek is nothing 😂
@Armaannk,choreographer name should be also written on every song without him the songs will be flat
@Mafiya-d2j,Nice song ❤❤❤
@ShubhamRawatNK,My favourite song of that time ❤❤❤
@SS-nm3uy,Ps cousins: this should be one of the songs we dance to for the next person that gets cuffed
@MahinIrfan2222,Abhishek sir fans like
@subhasreegupta5939,❤
@PriyankaHalder-g3v,cnt take off my eyes from RANI
@SofiaHanan-j7m,Booooo
@pipallab2279,What is the movie name plz said to me
@AbhiCh-p2j,Every annual day function ever in the 2000s
@user-uk8vx8zi8bzns,1:03 so energetic Rani Mukherjee 😅😅
@monicanath1479,Rani is so underrated as a dancer
@abingeorge9228,I've never seen Abhishek dancing this hard lol
@karantejpal8195,Dayumnn Rani looks hot and dances so well with AB supporting her. Almost 20 years and still a banger 💯
@MissHallikeri,Bunty and babli and their brown eyed brunette friends are not better than the people on the ground floor. They were also non - Asians. I saw them first ! They were more in number ! And colourful !
@zuberkgolechha,"Rani Mukherjee ne jaan daal di gaane me !! 
What energy ! 
Mind blowing choreography ! 

Only Abhishek is odd one out here.  😢"
@blaiserozario5595,"I'm from Bangladesh, as a
 Christian Glad to hear this song. though I don't understand the language."
@PayelRoy.s,Nice songs 🎉🎉🎉❤❤❤❤
@nomithegym04u,Rani s àeora time is rani
@nomithegym04u,NYC nachh baoliey
@Asiani9news,Abshak dance good but he don't have rymth so his dance seems awkward
@shivangibhatnagar,"The dance is on fire, full on energy!🔥 Mai to pehele hi phrase mei buri tarah thak gyi.😆"
@devanand3631,Who is after corona haziri lagao 😊
@etoilefelante4285,Who is here2024 🎉🎉
